,Herb,Person,Page
1,Alfalfa,Jehanne Marie Gavarini,
2,Allspice,Danica Connors,
3,Angelica,Christianna Ferri,
4,Artichoke,Jehanne Marie Gavarini,
5,Ashwagandha,Laura Clifford,
6,Ashwagandha,Monica Donhert,
7,Astragalus,Lucy DeMello,
8,Astragalus,Marija Hamed,
9,Atractylodes albamono,Danica Connors,
10,Autumn Olive,Dana Demetrio,
11,Bee Balm,Michelle Wong,
12,Bidens pilosa,Danica Connors,
13,Black Cohosh,Monica Donhert,
14,Bladderwrack,Marianne Fritz,
15,Blessed Thistle,Dana Demetrio,
16,Blue Vervain,Michelle Jones,
17,Burdock,Raman Prasad,
18,Cascara Sagrada,Christianna Ferri,
19,Comfrey,Raman Prasad,
20,Cordyceps,Michelle Jones,
21,Creeping Thyme,Marianne Fritz,
22,Damiana,Laura Clifford,
23,Dandelion,Christianna Ferri,
24,Dandelion,Lucy DeMello,
25,Downy Birch,Marianne Fritz,
26,Echinacea,Stephanie Swanson,
27,Eleuthero,Michelle Wong,
28,Evening Primrose,Michelle Wong,
29,Fo-Ti,Sandi Coyne,
30,Fringe Tree,Lucy DeMello,
31,Gentiana lutea,Jehanne Marie Gavarini,
32,Gotu Kola,Michelle Wong,
33,Guggul,Michelle Jones,
34,Harpagophytum procumbens,Jehanne Marie Gavarini,
35,Holy Basil,Monica Donhert,
36,Hops,Stephanie Swanson,
37,Horsetail,Marija Hamed,
38,Hyssop,Laura Clifford,
39,Iceland Moss,Marianne Fritz,
40,Indian Pipe,Raman Prasad,
41,Kudzu,Danica Connors,
42,Lavander,Monica Donhert,
43,Lemon Balm,Dana Demetrio,
44,Lemon Balm,Laura Clifford,
45,Lemon Balm,Sandi Coyne,
46,Licorice,Monica Donhert,
47,Lobelia,Lucy DeMello,
48,Mistletoe,Christianna Ferri,
49,Motherwort,Stephanie Swanson,
50,Mugwort,Michelle Wong,
51,Mulberry,Dana Demetrio,
52,Mullein,Michelle Jones,
53,Parlsey,Dana Demetrio,
54,Pau D'Arco,Lucy DeMello,
55,Pau d arco,Sandi Coyne,
56,Plantain,Raman Prasad,
57,Purslane,Dana Demetrio,
58,Queen Annes Lace,Danica Connors,
59,Red Clover,Marija Hamed,
60,Red Raspberry Leaf,Marija Hamed,
61,Reishi,Jehanne Marie Gavarini,
62,Rosemary,Michelle Wong,
63,Saffron,Christianne Ferri,
64,Schisandra,Michelle Jones,
65,Shatavari,Michelle Jones,
66,Sheep Sorrel,Stephanie Swanson,
67,Shepherds Purse,Marija Hamed,
68,Skullcap,Laura Clifford,
69,Slippery Elm,Raman Prasad,
70,Solomon's Seal,Marianne Fritz,
71,Spilanthes Acmella,Christianna Ferri,
72,Stinging Nettle,Marija Hamed,
73,Stinging Nettle,Sandi Coyne,
74,Turmeric,Jehanne Marie Gavarini,
75,Usnea,Danica Connors,
76,Witch Hazel,Marianne Fritz,
77,Wormwood,Laura Clifford,
78,Yarrow,Monica Donhert,
79,Yellow Dock,Raman Prasad,
